,text,Sentiment
0,- disaat semua cowok berusaha melacak perhatian gue. loe lantas remehkan perhatian yg gue kasih khusus ke elo. basic elo cowok bego ! ! !',neutral
1,RT USER: USER siapa yang telat ngasih tau elu?edan sarap gue bergaul dengan cigax jifla calis sama siapa noh licew juga',positive
2,"41. Kadang aku berfikir, kenapa aku tetap percaya pada Tuhan padahal aku selalu jatuh berkali-kali. Kadang aku merasa Tuhan itu ninggalkan aku sendirian. Ketika orangtuaku berencana berpisah, ketika kakakku lebih memilih jadi Kristen. Ketika aku anak ter",positive
3,USER USER AKU ITU AKU\n\nKU TAU MATAMU SIPIT TAPI DILIAT DARI MANA ITU AKU',negative
4,USER USER Kaum cebong kapir udah keliatan dongoknya dari awal tambah dongok lagi hahahah',negative
5,USER Ya bani taplak dkk \xf0\x9f\x98\x84\xf0\x9f\x98\x84\xf0\x9f\x98\x84',negative
6,deklarasi pilkada 2018 aman dan anti hoax warga dukuh sari jabon,negative
7,Gue baru aja kelar re-watch Aldnoah Zero!!! paling kampret emang endingnya! 2 karakter utama cowonya kena friendzone bray! XD URL,negative
8,"Nah admin belanja satu lagi port terbaik nak makan Ais Kepal Milo, Ais Kepal Horlicks atau Cendol Toping kaw kaw. Ã°??Â­; ; Doket mano tu ? Gerai Rojak Mertuaku - Taipan 2 (depan TWINS BABY &amp; ROMANTIKA / Bank Islam Senawang) Ã°???",positive
9,USER Enak lg klo smbil ngewe',positive
10,"Setidaknya gw punya jari tengah buat lu, sebelom gw ukur nyali sama bacot lu \xf0\x9f\x98\x8f'",positive
11,USER USER USER USER BANCI KALENG MALU GA BISA JAWAB PERTANYAAN KAMI DARI 2 HARI LALU.... NYUNGSEP KOE USER URL,negative
12,Kalo belajar ekonomi mestinya jago memprivatisasi hati orang. Duh.. ironi USER,negative
13,Aktor huruhara 98 Prabowo S ingin lengserkan pemerintahan Jokowi.... Nyata,negative
14,USER Bu guru enakan jadi jablay atau guru esde sih.\nKayaknya menikmati jadi pecun ini guru.',negative
15,"USER USER USER USER USER USER Lawan bicara gw gak intelek kyk loe, yg otak gak punya. Ttg kencing onta, gw mengakui hadis nabi dan itu sahih. Kafir kyk loe pasti menolak, makanya loe ahlunnar.'",negative
16,Belakangan ini kok fikiran ampas banget ya',negative
17,Ari sarua beki mah repeh monyet\xf0\x9f\x98\x86\xf0\x9f\x98\x86',negative
18,Jadi cowo itu harus Gantle kalo ga Gantle itu namanya BANCI !',negative
19,USER Slga mnr bom \xf0\x9f\x98\x82',negative
20,"Asw ya tapi gua jarang ngambek, tacut wkkwkwkwkw gua kan bucin.'",positive
21,USER kalo kamu noob pasti peluang disakitin nya lebih gede si',negative
22,"USER Joko Widodo dinilai sebagai presiden terlemah dalam sejarah Indonesia. Hal ini terjadi bukan saja karena Jokowi tidak memiliki modal dukungan politik yang cukup, melainkan juga karena ketidakmampuan pemerintahannya menghadapi situasi ekonomi g",neutral
23,PELAJAR SMA KEC BILAH HILIR DEKLARASI ANTI HOAX &amp; PILKADA 2018 DAMAI,positive
24,Bandara Udara Internasional Kertajati dibangun oleh Gubernur Ahmad Heryawan tanpa gunakan APBN pemerintah pusat. Insya Allah siap beroperasi bulan depan;,positive
25,"Siapapun gubernur dan presidennya, rakyatnya, ya kitaÃÂ² juga...",negative
26,Ini si USER kerjaannya delay mulu! Setan!',negative
27,menurutku pintu sorga ada yaitu pintu sorga yang asli dan pintu hatimu modusbanget,positive
28,RT USER USER USER PKI hanya muncul jika jelang pemilihan kepala daerah dan pemilihan presiden krn digoreng sampai gosong.,neutral
29,USER USER Itu mah sdh nenek-nenek sy heran sama cebong biasay bohong terus',negative
30,"USER USER USER USER USER USER USER USER USER Islam Nusantara produk JIL, dipasarkan dg gencar oleh antek\xc2\xb2 JIL.\n\nSementara JIL anti Arab, tapi pro Aseng!\n\nKata (alm) KH. Hasyim Muzadi,",negative
31,Dari habis sahur sampe jam 10. Sibayik udah nete 4x. Skg rasanya lemas tak terkira \xf0\x9f\xa4\xa2',neutral
32,USER Gak kak emak mah gak demen ama yang sipit wkwk',negative
33,"RT USER: Kelakuan homok jaman now, ngentot aja sambil live di Blued #gayvid #gvid #lokalhangat URL",negative
34,"USER Ga kak, gua bukan orang jawa maaf yak :(; ; gua orang palembang soalnya, kakak aja deh yg belajar aksara jawa. Atau kalak mau belajar budaya palembang?",negative
35,Pegawai Guardian training lagi kek Mentang2 gue kek gembel cuman kaos sama Flat shoes nanya dijutekin bangsad emang males belinya juga kabur gua ke matahari',negative
36,\xe2\x80\x9dPara Bajingan yang telah melukai Lady harus menerima ganjaran seratus kali lipat!!\xe2\x80\x9d(sanji) ##HBD17thPelautJKT48',neutral
37,ajakan menolak berita hoax dan sukseskan pilkada di wilayah kota keidri:,neutral
38,USER USER Presiden RI Jokowi luarBiasa kerja nya tulus IHLAs untuk #RakyatB3rsamaJKW,positive
39,Edan emang goollnya fabiano!!',negative
40,GAPERNAH MENDALAMI AL-QURAN YA BANG??? PANTESAN MULUTNYA KAYA ORANG KAFIR BEJAT HINA farhatabbaslaw',negative
41,"Sangat terlihat beda sekali Kewibawaannya ,; yg sangat berwibawa cuma gubernur Indonesia USER ; Massya Allah...",negative
42,Anjir baru kali ini lihat orang bego mau debat pilkada. Kerjanya nyerang karakter. Shame on you mpok silvy and agus. #DebatFinalPilkadaJKT,negative
43,"#GubernurZamanNow #GusIpulPuti2 #GanjarYasin1 #DjarotSihar2 #HasanAnton2 #KosterAce1 #NurdinSudirman3 #KarolinGidot2 RT USER: ""Keanekaragaman budaya, suku, agama, itulah sesungguhnya kekayaan kita,Ã¢?? tutur Djarot di hadapan peserta RakercabsuÃ¢?Â¦",negative
44,"USER USER Apa iya Islam itu ga boleh dilokalisasi? Lha Kristen aja mas ada Nusantaranya mas, liat aja di Gereja di bandung ada yg pake gamelan dan ada yg khotbah pake bhs Sunda/Jawa, ada HKBP juga kurang Nusantara apa?'",negative
45,"Ciptakan Situasi Kamtibmas Menjelang Pilkada 2018, Kapolsek Konang Silaturahmi ke Tokoh Masyarakat",negative
46,USER USER positif kok.\nse-positif respon masyarakat terhadap\n- CANGKUL impor\n- GARAM impor\n- BERAS impor\n- JAGUNG impor\n- TENAGA KERJA impor\n- ESEMKA impor\n\nURL,negative
47,"USER USER USER USER Kata Sembahyang mengadopsi tradisi lokal pada masa kerjaan Hindu.\n\nIstilah\xc2\xa0sembahyang\xc2\xa0pun lahir dari tradisi ritus\xc2\xa0menyembahHyang (Yang Tunggal), sama dengan\xc2\xa0shalat menyembah All",negative
48,KAU PENDIKAN TINGGI TAPI BODOH....GK ADA LARANG BAWA AGAMA..BIAR ORANG ISLAM YG DI BAYAR AHOK SADAR GK JADI MILIH AHOK GLA,negative
49,"USER USER BTP the best ,,,abaikan kaum kampret otak micin ,,,'",negative
50,"USER USER , si otak tempurung mah ga usah d ladenin. Smkn d lawan semakin Bloon dan Dungu. Dan kalo ga gitu dia ga makan. Hehe'",negative
51,"USER Awaasss... Jgn sampe beritanya sampe ke akhi gerung! Ntar susah nyari kosakatany. klu bcr aja micingin mata, bibir monyong kesamping, suara keluar ky lg nhn kentut.. ""politik kotor skl jmn ini!"". Klu tahu brt ini.. Plng Sambil ky nhn ngeden..""dungu!"". \xf0\x9f\x98\x8b",negative
52,pinokio umur 3 taonan tuh. #2019GantiPresiden,positive
53,"USER Cerita silat lae \xf0\x9f\x98\x80 semacam Kho Ping Hoo yang dari Indonesia, tapi Liang Ie Shen penulis dari China'",negative
54,RT USER benci sekali dgn Umat Islam,negative
55,"USER USER USER ""Provokasi mayat, politisasi agama"" penyebab kekalahan pilkada DKI, beginilah cara cebong mendeskripsikan kekalahan junjungannya.; FYI ahog blm pernah ikut pemilihan apapun (kec jd wakil) dan dia bukanlah etnis mayorita",negative
56,USER dari pada gua nete',neutral
57,USER Lol bani lowo',negative
58,"Takabur bisa lahir dari siapa saja. Penguasa, rakyat, ulama maupun cendikia. Bahkan iblis mahluq yg alim &amp; telah beribadah beratus2 th dilaknat krn hasud takabburnya. Apalagi hanya seorang ahli ilmu filsafat yg tdk failosof; ; Mari kita demo diri sendi",negative
59,"A orang yang suka ke konser-konser, sedikit boros.",negative
60,[ SAMPAI KAPAN MAKAN RACUN ? ]; _; Banyak ulama yang mengatakan hukum rokok mubah dan ada jugaÃ¢?Â¦,negative
61,Susilo Bambang Yudhoyono Presiden RI ke 6 meminta Khofifah Emil untuk dekat dengan masyarakat . No 1 Bisa ! BaGusS #KhofifahEmilNomer1,neutral
62,"USER udah biasa kali. Gue kpoper tapi kalo ngomonv sama temen2 gue, idol gua banci homo'",neutral
63,Saya suka video USER URL Awal Kisah Perseteruan Haji Bolot &amp; Malih Tongtong',negative
64,"Budaya kafir bersungguh, klau hal2 islam tidak diendahkan...",negative
65,"USER USER USER USER \xf0\x9f\x8e\xb6 la la la...hm hmm \xf0\x9f\x8e\xa7 ""Semua diam ,semua bisu""\n""Kita coba tanya sama rumput yg bergoyang"" \n\xe2\x99\xab\xe2\x99\xab\xe2\x99\xab\xe2\x99\xaa\xe2\x99\xaa\xe2\x99\xaa'",negative
66,"Apabila setan membisikkan was-was kepadamu, mintalah perlindungan kepada Allah. (QS. al-A\xe2\x80\x99raf: 200 dan Fushilat: 36).'",positive
67,USER USER USER USER USER USER USER Klw ente atheis..ngapain sibuk dgn agama orang...,negative
68,Lengserkan Jokowi Bangsat!!,negative
69,USER Selamat hari kartini ; ; #2019GANTIPRESIDEN; #2019PRESIDENBARU,neutral
70,"RT USER: Bajingan Homo!!!\nHati2 terhadap anak2 kita terutama di kamar mandi laki2, jgn biarkan sendiri! URL",negative
71,USER Iya cocot',neutral
72,USER karena budaya indonesia.,negative
73,"USER Yang ngajarin solat'a ajah itu orang aseng dia hanya ingin memecah belah islam""",negative
74,USER x || Lo ngomong aja kaga bener bangke',negative
75,USER USER Kita semua tidak pernah akan mempercayai yg negara Kita disuatu hari nanti akan dijajah oleh kerana terdapat kes2pembubaran sistem2 beraja dinegara Kita kini untuk menjadikan sebagai negara republik komunis padahal negara2 penjaja,negative
76,tapi masih menikmati kebijakan yang dulu diusulkan PKI.. lha yo opo...,negative
77,Kalo seumpama orang cina di usir paksa dari indonesia gimana,negative
78,USER bunda ngentot yuk',neutral
79,RT USER: china babi... china maling...\n#UsirChina https:\/\/t.co\/9y4HIWHJp2,negative
80,"Bung Karno anti asing dan beliau dari Jawa, coba deh adain konsensus lebih banyak mana Jawa yang anti asing atau pro asing karena kebo*ohannya. \n\nKalau kami keliru kami tutup akun'",negative
81,PROYEK KORUPSI REZIM SBY URL,negative
82,"USER Wajar saja, lihat saja tingkah bbrp petinggi negeri ini yg suka mencampur bhs indonesia dgn bhs asing setiap kali bicara'",negative
83,AB: pribadi yg senang berkompetisi dalam hal yang baik dan positif,positive
84,USER USER Terus menurut lo kitab suci agAma apa yg di bilang om USER ; ; #Mendadakkalap,negative
85,USER Suka nutup mata. Kaga ditutup pun udah terlihat tertutup gara2 sipit /?',negative
86,"USER Sy sbg muslim tdk merasa pak USER menistakan kitab suci Alqur'an, krn dlm Alqur'an sndri ada bbrp suku kata yg smpai dtik ini blm diketahui mkna faktualnya olh umat islam, tp kami yakini kata tsb ada makna yg tersirat (fiksi) yg blm",negative
87,USER eh kasar kau kampang',negative
88,"BENTAR LAGI GUA RILIS ALBUM THE ONTA'S WKWKWKWKWK""",neutral
89,USER Ada cebong bang dia merasa paling benar',negative
90,Najis banget gw ngetwit apa barusan wey',negative
91,Kamu transgender atau gmn anjing :( URL,negative
92,USER awas bintitan lu ngintipin titit kucing',neutral
93,"USER USER Bawel, baper, bolot, baik, bodor , gaje wkwk apa ya udah itu aja deh'",positive
94,"USER USER USER USER Gue saranin gk perlu bnyk bacot maling ayat, langsung to the point aja lu jadi orang... Yg tdk sepaham lu teriakin aja kafir sesat, liberal, pemuja dukun, bla blaaa.. pasti hatimu puas dehh ..'",negative
95,Jgn salah target bkn ahok... agenda utama lengserkan Jokowi ..,negative
96,USER USER masa baru kena hestek aja udah kepanasan ??? Kepo banget ; ; #2019GantiPresiden,negative
97,"Maju lu sini duit tapi kau goyang kaki tak buat pape , mana la duit nak maju kat kau bodo URL",negative
98,"USER HKBP berdiri itu sejak pecahnya kristen khatolik pada zaman penjajahan belanda,dl tdk ada yg namanya kristen protestan yg ada cm kristen khatolik.\nTerjadilah perpecahan dan berdirilah HKBP yg prtama kali di tarutung.\n\nNah skrg anda sy k",negative
99,"Ha .. ha .. Banyak baca biar pintar ... JEPANG, AMERIKA, CHINA... Utang sama siapa ... Anda tau enggak ..?",positive
100,Prabowo Sudah Kalah Menyebut Bantuan Jokowi Hanya Pencitraan Adalah Ratapan Pilu,negative
101,USER USER dan yang takut dengan adzan adalah IBLIS',negative
102,USER USER Yg goblog itu adalah bani cebong tukang tipu penjilat penguasa yg ketahuan gerakin masa yg dibayar pakai nasi bungkus. Propaganda nasi bungkus memang selalu gagal.',negative
103,USER USER USER USER Wuih... cebong sewot...\n\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82',negative
104,2. Gerakan ini menekankan pentingnya kerja keras secara total untuk tingkatkan potensi bangsa,negative
105,Padahal gubernur saat ini Djarot. Mayoritas partai politik di DPRD juga pendukung Ahok Djarot. Payah ya mereka USER URL,negative
106,"USER rezim rusak bukan memperbaiki systeamnya malah sibuk cari2 kesalahan klu itu pasti ketemu aja, KPK alatnya, besok pemerintah berganti berulang kembali engah pernah selesai siapapun organisasi, orangnya'",negative
107,"Saat orang orang saling menuding antek aseng, aseng sesungguhnya bertepuk tangan.'",negative
108,USER Nah loh katanya anti aseng',negative
109,"Selamat Pak USER Semoga Bisa Terus Berkiprah, Bahkan Tingkat Nasional.",neutral
110,#AsyikM3nang saya sih ikut ulama saja,negative
111,USER Yang saya ketahui bahwa diketapang banyak tka asing yg berkerja di berbagai perusahaan. Termasuk pt who tambang bouksid yg viral saat pilpres dulu. \nDan bisa jadi ini karena kerja sama tsb terjadi di era gubernur cornelis dan wakilnya ora,neutral
112,USER Anak pecun... ga jauh2 dr hobi zina.. haha',negative
113,USER QUE BOM SBBSNSN',neutral
114,"USER Istirahat aja pak presiden momentum sudah berlalu, saya pernah jadi saksi telinga dan mata awal rapat pembentukan PD di Pacitan tahun 2003",negative
115,"Pada 1979, House Select Committee on Assassinations (HSCA) menemukan cacat investigasi yang dilakukan FBI dan Warren Commission. HSCA juga menyimpulkan ada empat tembakan yang dilakukan dan kemungkinan terdapat konspirasi di dalamnya.'",negative
116,"USER Tak terasa genap 1 tahun mendatang 17 April 2018 akan digelar Hajatan pilpres, acara tahunan Negara Indonesia untuk memilih Presiden. Semoga senantiasa berjalan aman dan lancar. Amin.",positive
117,USER Ian pantat',negative
118,"USER USER Ngakunya org pintar dan beragama, emangnya agama mana yg memperbolehkan menista dan menghujat org lain???. Jgnkan orang bodoh, org yg ( maaf) sejak lahir idiot sekalipun dia, kita hrs hargain sebagai sesama ciptaan Tuhan. Ingat : iblis itu juga pintar dan sangat licik!!!'",negative
119,Pendaftaran Capres untuk #Pilpres2019 saja belum dibuka sampai Agustus 2018...yang normatif begini politikus PDIP masih belum paham? #2019GantiPresiden !!,neutral
120,Si tolol udah tau pemerintah rezim komunis ini bobrok koruptor bisa pimpinan sidang DPR paya cebong URL,negative
121,dari dulu kenapa bapak w kalau ke mantan mantan w selalu mgerasa sedih ampe kepikiran dan gabisa tidur lohh?!! dan w ngerasa jadi anak yg brengsek aja gt ke laki2 :)))',neutral
122,Cina perusak bangsa!! Usir !! Stuju??,negative
123,#2019GantiPresiden scra konstitusional hak setiap rakyat woiii!! . Gini nih kalo planga plongo tapi kelakuan otoriter.,negative
124,Mari kita wujudkan Pilkada Kota Bengkulu 2018 aman dan damai.; .; .; coki_adem86 98heruÃ¢?Â¦,positive
125,"Mau tanya serius ini sm presiden jokowi======= knp yg ada cm islam nusantara,knp tdk ada kristen nusantara,budha,hindu bahkan kong huchu nusantara???'",negative
126,KORSA: Pernyataan Moeldoko Bukti Istana Takut dengan Kebangkitan Umat Islam,negative
